公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　　　　 應付票據－關係人增加（減少）,　　 取得不動產、廠房及設備,　　 其他金融資產增加,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 其他項目,　　 取得投資性不動產,　　 預付設備款增加,　　 發放現金股利,　　 處分不動產、廠房及設備,　　 取得無形資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　 匯率變動對現金及約當現金之影響,　　 應付短期票券增加
1442,2014年01月01日至2014年03月31日,,169994,169994,,,519,17,1179,422,-7,0.0,,2035.0,,,1960,16040,361,0.0,-463930,-2043,65,-1090.0,-448637,,-341,-46048,-8190,9926,-242,-37551,-1056,,-86595,-535232,-533197,-363203,7,0.0,-156,-2512,-365864,,,0.0,,95.0,0.0,190,,453000,-173066,-1738,175000,-186608,0.0,266588,-99086,290874,191788,191788,,-3108.0,,,-95.0,15.0,,,,,,95.0,,,,,,,
1442,2013年度,,1399634,1399634,,,1525,167,-16238,8234,-1111,134.0,5839.0,-1980.0,,,6690,-14080,-338,,490217,37181,12599,-169220.0,363049,,53090,-259562,-17010,76019,656,204249,7934,,79236,442285,440305,1839939,1111,9246.0,-1064,-34163,1815069,,-1250.0,18000.0,,718.0,,-176159,,597341,-3499626,-7636,1475454,-54583,200000.0,-1536776,102134,188740,290874,290874,-530.0,13860.0,-190.0,-189967.0,0.0,0.0,,,,-3470.0,-247726.0,0.0,0.0,,,,,,
1442,2013年01月01日至2013年12月31日,,1399634,1399634,,,1525,167,-16238,8234,-1111,134.0,5839.0,-1980.0,,,6690,-14080,-338,,490217,37181,12599,-169220.0,363049,,53090,-259562,-17010,76019,656,204249,7934,,79236,442285,440305,1839939,1111,9246.0,-1064,-34163,1815069,,-1250.0,18000.0,,718.0,,-176159,,597341,-3499626,-7636,1475454,-54583,200000.0,-1536776,102134,188740,290874,290874,-530.0,13860.0,-190.0,-189967.0,,,0.0,0.0,0.0,-3470.0,-247726.0,,,,,,,,
1442,2013年01月01日至2013年09月30日,,1353650,1353650,,,1145,151,-16791,8071,-471,133.0,5839.0,-2453.0,,,-2038,-7630,27,-171.0,929530,41455,12071,-170600.0,802644,,34311,-234726,-25200,54485,1134,143955,9293,,5112,807756,805303,2158953,471,9247.0,-906,-32371,2135394,,-1250.0,18000.0,,406.0,,-171571,,349615,-3330300,-5780,1024740,-1937,200000.0,-1763662,200161,188740,388901,388901,-530.0,20790.0,-190.0,-188537.0,0.0,1070.0,,,,,,,,,,,,,
1442,2013年01月01日至2013年06月30日,,1067219,1067219,,,765,134,-12910,7913,-439,133.0,5839.0,1416.0,,,10034,-35264,31,-124.0,1058482,41386,9663,,1084208,,65343,-212927,-25200,75448,1638,69890,16478,,-90,1084118,1085534,2152753,439,8736.0,-691,-22879,2138358,,-1250.0,18000.0,0.0,589.0,,-171293,,349615,-2308300,-3876,40740,-1192,200000.0,-1723013,244052,188740,432792,432792,-19.0,9240.0,-95.0,-188537.0,,,,,,,,,,,,,,,
1442,2013年01月01日至2013年03月31日,,339397,339397,,,396,92,-5174,3654,-11,133.0,0.0,-910.0,,,-9020,-45277,31,-91.0,170409,-457,22481,-149750.0,-11674,,-3091,-168053,-20580,65085,1976,165967,18629,0.0,59933,48259,47349,386746,11,8717.0,-221,-4577,390676,,0.0,18000.0,0.0,589.0,1312.0,19901,,269615,-708710,-1938,40740,-737,200000.0,-201030,209547,188740,398287,398287,,,,,,,,,,,,,,,,,,,
1442,2012年01月01日至2012年12月31日,,340230,340230,,,2084,492,2224,6015,-569,0.0,33066.0,-1945.0,,,-10990,31097,-22,,-3369003,-36617,-6526,-56463.0,-3448524,,-98493,256204,25200,-37546,-300,51067,-3648,,192484,-3256040,-3257985,-2917755,569,10159.0,-590,-48727,-2956344,,-50000.0,0.0,,-57476.0,,-162625,,2937895,-2506100,791044,2612275,-230561,42.0,3088934,-30035,218775,188740,188740,-117.0,0.0,0.0,-54923.0,,,-10131.0,-35009.0,-226.0,0.0,-515661.0,,,,,,,,
1442,2012年01月01日至2012年09月30日,,299154,299154,,,1678,406,16,2523,-232,0.0,33066.0,37427.0,,,-9046,15677,-152,0.0,-3075729,-21095,-6564,0.0,-3096909,,-13195,52780,25200,-8574,909,0,13529,,70783,-3026126,-2988699,-2689545,232,117.0,-336,-49569,-2739101,,-50000.0,0.0,,-50855.0,,-155855,,1930038,-1551448,792981,2134100,-255936,42.0,3049777,154821,218775,373596,373596,-117.0,134.0,0.0,-55000.0,87.0,0.0,,,,,,,,,,,,,
1442,2012年01月01日至2012年06月30日,,277965,277965,,,1143,308,0,351,-217,0.0,33066.0,34651.0,,,-990,33079,9,0.0,-1722480,-2460,-6196,,-1699038,,-54819,27415,0,4709,-473,-2620,-2163,,-27951,-1726989,-1692338,-1414373,217,0.0,-353,-32571,-1447080,,-50000.0,0.0,-51445.0,0.0,,-101445,,1472246,-620240,0,1255100,-255348,42.0,1851800,303275,218775,522050,522050,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1442,2012年01月01日至2012年03月31日,,154835,154835,,,582,161,0,178,-8,0.0,33066.0,33979.0,,,-7710,-45201,-62,0.0,-957426,-1,3107,0.0,-1007293,,-24482,-86291,0,634,-346,48326,13814,5066.0,-43279,-1050572,-1016593,-861758,8,0.0,-184,-1091,-863025,,-50000.0,0.0,-51152.0,0.0,0.0,-101152,,1534466,-595880,0,30000,-24863,0.0,943723,-20454,218775,198321,198321,,,,,,,,,,,,,,,,,,,
