公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 退還（支付）之所得稅,　　 以成本衡量之金融資產減資退回股款,　　　　 股利收入,　　 收取之股利,　　 取得投資性不動產,　　 發行公司債,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分採用權益法之投資,　　 發放現金股利,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　 庫藏股票買回成本,　　　　　 預付款項（增加）減少,　　 取得以成本衡量之金融資產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　 處分以成本衡量之金融資產,　　　　 非金融資產減損迴轉利益,　　 取得採用權益法之投資,　　 存入保證金減少,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分採用權益法之投資損失（利益）,　　 其他應收款－關係人增加,　　 短期借款減少,　　 非控制權益變動,　　　　　 其他應收款（增加）減少,　　　　　 淨確定福利負債增加(減少),　　 處分備供出售金融資產,　　 其他應收款增加,　　 其他金融資產增加,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　 其他應收款減少,　　 其他金融資產減少,　　 其他籌資活動,　　 除列避險之衍生金融負債
1437,2014年01月01日至2014年03月31日,,106831,106831,,,33696,1767,20371,-1779,0.0,-38871.0,,,4166,-2804,-10380,21874,15029,27885,,9714,1459,-60240,-50221,-22336,-61207,45624,1779,-18423,30236,,-1621,0.0,-15944,90086,,55665,,0.0,235000,-295000,-165.0,-4927,5865,121260,405286,526546,526546,,,,-1256.0,1256.0,,,,,-1154.0,,,,-91670.0,107651.0,-427.0,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2013年度,,-519401,-519401,,,303200,-8472,83799,-4456,40904.0,678452.0,,,-3286,10530,53738,71056,-30306,94718,,-8402,-13272,66236,44562,139280,817732,298331,4456,-80742,247071,,-29969,340.0,-182,-31342,,-107967,,-18000.0,1900000,-2635000,-781.0,-262192,20259,-26204,431490,405286,405286,,-536.0,1938.0,-25562.0,25562.0,,600000.0,,289039.0,,-3469.0,,-444.0,0.0,0.0,0.0,-7014.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1437,2013年01月01日至2013年12月31日,,-519401,-519401,,,303200,-8472,83799,-4456,40904.0,678452.0,,,-3286,10530,53738,71056,-30306,101732,,-8402,-13272,66236,37548,139280,817732,298331,4456,-80742,247071,,-29969,340.0,-182,-31342,,-107967,,-18000.0,1900000,-2635000,-781.0,-262192,20259,-26204,431490,405286,405286,0.0,-536.0,1938.0,-25562.0,25562.0,0.0,600000.0,0.0,289039.0,-7014.0,-3469.0,0.0,-444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2013年01月01日至2013年09月30日,,-130468,-130468,,,226881,-9487,63028,-2423,31258.0,284305.0,,,-1122,5217,37951,19372,-16814,44604,,2212,7237,32080,41529,86133,370438,239970,2423,-62092,200720,,-27451,110.0,931,-24472,,-135809,,-18000.0,1660000,-2320000,224.0,-213585,15788,-21549,431490,409941,409941,0.0,-4533.0,1938.0,-24952.0,24952.0,0.0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2013年01月01日至2013年06月30日,,-48618,-48618,,,150677,-1493,42084,-1265,259.0,191232.0,,,1212,1980,12440,-13080,-33881,-31329,,5935,14325,28804,49064,17735,208967,160349,1265,-42419,119151,,-25776,100.0,-311,-25987,,-104772,,-18000.0,1385000,-1405000,400.0,-142372,17486,-31722,431490,399768,399768,970.0,-44.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2013年01月01日至2013年03月31日,,-36975,-36975,,,74997,91,21104,-204,4.0,95992.0,,,79,3452,25687,-4099,-10663,14456,,8711,15251,14399,38361,52817,148809,111834,204,-21154,90884,,-16225,32.0,-572,-16765,,46326,0.0,-18000.0,690000,-775000,0.0,-56674,10627,28072,431490,459562,459562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2012年01月01日至2012年12月31日,,24520,24520,,,315605,-2606,86788,-3011,-3346.0,280882.0,,,-1572,-3602,65429,19909,5906,86070,,-3929,-11240,-28561,-51096,34974,315856,340376,3011,-87019,272882,,-99116,28600.0,4343,17622,,-133284,,-7000.0,1670000,-1630000,1185.0,-99674,-13558,177272,254218,431490,431490,333.0,-7644.0,1251.0,-24158.0,24158.0,-6179.0,0.0,-88723.0,0.0,-7366.0,0.0,88723.0,-575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2012年01月01日至2012年09月30日,,-49553,-49553,,,242567,850,65200,-1769,183.0,283418.0,,,-2588,-8488,5448,-13072,-19760,-38460,,20036,23542,-1372,42206,3746,287164,237611,1769,-65607,191007,,-87156,18746.0,1969,-66792,,-107825,,-5000.0,1300000,-1290000,178.0,-102647,-16958,4610,254218,258828,258828,333.0,-6712.0,666.0,-23946.0,23946.0,-1017.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2012年01月01日至2012年06月30日,,-11789,-11789,,,160124,-374,43463,-1396,-576.0,201574.0,,,5665,1545,-31123,-33478,-22404,-79795,,11310,52927,15280,79517,-278,201296,189507,1396,-43825,143886,,-63009,9182.0,2579,-50583,,-167272,,-5000.0,900000,-795000,6.0,-67266,-4838,21199,254218,275417,275417,333.0,-3192.0,665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,2012年01月01日至2012年03月31日,,-14036,-14036,,,79716,328,21815,-365,191.0,101685.0,,,-9527,-1878,12267,10671,-9846,1687,,5802,16444,-8291,13955,15642,117327,103291,365,-21843,81813,,-13352,836.0,-483,-12999,,13,8000.0,0.0,545000,-610000,6.0,-56981,-6954,4879,254218,259097,259097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
