公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得持有至到期日金融資產,　　　　 處分採用權益法之投資損失（利益）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 非控制權益變動,　　 處分以成本衡量之金融資產,　　　　 投資性不動產公允價值調整損失(利益),　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得避險之衍生金融資產,　　 預付設備款減少,　　 取得子公司股權,　　　　 金融資產減損損失,　　 取得採用權益法之投資,　　　　　 避險之衍生金融資產（增加）減少,　　　　 處分待出售非流動資產損失（利益）,　　 處分待出售非流動資產,　　　　 處分其他資產損失（利益）,　　 以成本衡量之金融資產減資退回股款
2610,2014年01月01日至2014年03月31日,,-2511925,-2511925,,,4319427,12964,297,-23076,-124143,-3418.0,-122927,-21100,,117364,239614,821454,5216456.0,,,-68320,-77591,-34560,24012,-160706,6871,-310294,,-563513,107303,-728247,-24646,-592765,1421693,-69774.0,401133,-48816,-359110,4857346,2345421,132071,3418.0,-616041,-4730,1860139,,-1600129,28994,-978,41853,-1925753,136097,-3319916,,103735,-60000.0,59956.0,0.0,-1080000,8987952,-6113605,61134,-64122,-1522.0,,1893528,-228724,205027,19007649,19212676,19212676,,,,,,,,,,,,,,,,,,,,,
2610,2013年度,,-361180,-361180,,,17244851,50723,79,-132701,-361433,-65631.0,-450361,-6008,0.0,318255,209433,1780821,17845742.0,,,1411176,-214653,-171326,-133314,4080,1262215,2158178,,382372,177602,2592128,-426740,555208,20784,-164684.0,85907,3222577,5380755,23226497,22865317,339814,402805.0,-1976580,-145454,21485902,,-5966226,37458,-134518,394101,-7396503,-58829,-12382231,,-1466964,,0.0,16900000.0,-5460000,15211898,-26182916,204648,-179459,,0.0,-1064806,137653,8176518,10831131,19007649,19007649,,-742286.0,0.0,0.0,742286.0,-92013.0,,,,,,,,,,,,,,,
2610,2013年01月01日至2013年12月31日,,-361180,-361180,,,17244851,50723,79,-132701,-361433,-65631.0,-450361,-6008,0.0,318255,209433,1780821,17845742.0,,,1411176,-214653,-171326,-133314,4080,1262215,2158178,,382372,177602,2592128,-426740,555208,20784,-164684.0,85907,3222577,5380755,23226497,22865317,339814,402805.0,-1976580,-145454,21485902,,-5966226,37458,-134518,394101,-7396503,-58829,-12382231,,-1466964,,,16900000.0,-5460000,15211898,-26182916,204648,-179459,,0.0,-1064806,137653,8176518,10831131,19007649,19007649,,-742286.0,0.0,0.0,742286.0,-92013.0,,,,,,,,,,,,,,,
2610,2013年01月01日至2013年09月30日,,644284,644284,,,12935461,38029,118,-109782,-250109,-3406.0,-333333,-6152,0.0,258722,297711,1741347,14568606.0,,,1395328,334707,-270548,-147946,-57515,1634382,2888408,,-15974,253739,685313,-396155,-355951,162110,-150910.0,141263,323435,3211843,17780449,18424733,248599,312447.0,-1466051,-66471,17453257,,-4394614,24636,-65358,358618,-5753155,-27820,-9857693,,1275000,,1099158.0,10900000.0,-5460000,7925000,-18408353,158003,-135813,,-92013.0,-2739018,20163,4876709,10831131,15707840,15707840,0.0,,,,,,,,,,,,,,,,,,,,
2610,2013年01月01日至2013年06月30日,,-1071023,-1071023,,,8625147,25424,99,-135661,-161365,-3180.0,-211272,-4061,0.0,188140,413452,1542832,10279555.0,,,1209209,-130991,-88061,-127415,338097,942903,2143742,,14689,21395,1490414,-257883,160062,301313,-72534.0,11546,1669002,3812744,14092299,13021276,151390,50261.0,-1023892,-59745,12139290,,-3337487,18795,-42633,309540,-3260239,3384,-6308640,,4025000,,849720.0,10900000.0,-5460000,1140000,-12399252,119217,-70589,,-92013.0,-987917,166985,5009718,10831131,15840849,15840849,0.0,,,,,,,,,,,,,,,,,,,,
2610,2013年01月01日至2013年03月31日,,-1050342,-1050342,,,4291914,12738,52,-110536,-73446,0.0,-101222,-998,0.0,97056,321866,787492,5224916.0,,,-623026,74519,68464,-103501,-35193,-787669,-1406406,,-59355,-85346,-370852,-90108,-278311,138999,-67867.0,6635,-806205,-2212611,3012305,1961963,62953,0.0,-466751,-3085,1555080,,-1329486,10316,-35366,312351,-266007,42431,-1265761,,310000,-1600104.0,199956.0,10900000.0,-1080000,280000,-7747376,57295,-38474,-1107.0,0.0,1280190,202485,1771994,10831131,12603125,12603125,,,,,,,,,,,,,,,,,,,,,
2610,2012年01月01日至2012年12月31日,,-172005,-172005,,,16928269,44660,5854,-475129,-243325,-187354.0,-416721,-20111,-128.0,294188,-1203159,3289873,18016917.0,,,2920436,2621530,-317818,363826,-127011,-66231,5394732,,-48505,339980,-2476585,-268915,-1148626,258279,-191842.0,-9687,-3545901,1848831,19865748,19693743,250835,286099.0,-2454552,-148643,17627482,,-4834425,460839,-399110,670135,-5207110,12709,-8953286,,1600000,,,5345000.0,-12200000,12700000,-22819950,108147,-191406,,6667069.0,-8866006,-90831,-282641,11113772,10831131,10831131,,0.0,374085.0,-30409.0,0.0,-74866.0,,,,,,,,,,,,,,,
2610,2012年01月01日至2012年09月30日,,-127080,-127080,,,12675883,34123,298,-483466,-178364,-176381.0,-317255,-16200,-128.0,293904,-979965,2531461,13383910.0,,,3162983,3307662,-274692,106378,-137338,19037,6184030,,29860,-11556,-1987058,-140394,-1094306,53205,-124602.0,-28230,-3303081,2880949,16264859,16137779,206987,454521.0,-1949189,-112707,14737391,,-3087834,262346,-358632,405375,-4502016,19065,-7292105,,900000,,299810.0,5345000.0,-11000000,8071188,-17964770,78512,-188614,,6592203.0,-7866671,-93091,-514476,11113772,10599296,10599296,-30409.0,,,,,,,,,,,,,,,,,,,,
2610,2012年01月01日至2012年06月30日,,-1779142,-1779142,,,8444428,22268,506,-455059,-122326,-170059.0,-225025,-30985,-128.0,295613,-813097,1747914,8694050.0,,,1494788,2038812,-156486,9707,20608,-848915,2558514,,81031,294037,-2256318,-114388,599459,160110,-56490.0,-1486,-1294045,1264469,9958519,8179377,133690,283907.0,-1371621,-58430,7166923,,-2284307,226037,-126267,376087,-1041973,29566,-2851266,,3200000,,0.0,5345000.0,-11000000,5572564,-13162514,65348,-127725,,6592203.0,-3515124,-3122,797411,11113772,11911183,11911183,-30409.0,,,,,,,,,,,,,,,,,,,,
2610,2012年01月01日至2012年03月31日,,-1506845,-1506845,,,4211874,11033,433,-21100,-46638,-359.0,-85393,-9083,-128.0,84411,-1171930,876256,3849376.0,,,-1303162,474626,-223720,102278,-211684,732099,-429563,,-41320,-103657,-1785167,-68112,-939058,-6159,-66748.0,-15675,-3025896,-3455459,393917,-1112928,54741,2377.0,-509473,-9896,-1575179,,-1030600,343401,-50605,209275,-135154,75429,-588254,,150000,0.0,50000.0,5345000.0,0,0,-4839694,26360,-86181,0.0,6667069.0,7312554,-78567,5070554,11113772,16184326,16184326,,,,,,,,,,,,,,,,,,,,,
