公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　 退還（支付）之所得稅,　　 處分不動產、廠房及設備,　　 其他投資活動,　　 應付短期票券增加,　　　　　 其他營業資產（增加）減少,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　 其他金融資產增加,　　　　　 淨確定福利負債增加(減少),　　 其他非流動資產增加
1469,2014年01月01日至2014年03月31日,,-4593,-4593,,,3042,128,-703,-19,571,-586,,2433.0,,,13992,51721,-3123,-12527,50063,,20251,-3321,448,1022,18400,68463,70896,66303,79,-565,65817,,-140,0.0,-140,,-155418,,-73418,-7741,108960,101219,101219,,,,0.0,,,82000.0,0.0,,,0.0,,,,,,
1469,2013年度,,10188,10188,,,13031,510,-1718,-1830,4162,-843,,1568.0,,,5981,-28548,44290,527,118160,,-23928,-5641,-5521,268,-35293,82867,84435,94623,848,-4177,94829,,-1002,-202.0,-1002,,8500,,-159500,-65673,174633,108960,108960,-159.0,96365.0,,3535.0,202.0,,-168000.0,,-11752.0,167.0,-455.0,-471.0,,,,,
1469,2013年01月01日至2013年12月31日,,10188,10188,,,13031,510,-1718,-1830,4162,-843,,1568.0,,,5981,-28548,44290,527,118160,,-23928,-5641,-5521,268,-35293,82867,84435,94623,848,-4177,94829,,-1002,-202.0,-1002,,8500,,-159500,-65673,174633,108960,108960,-159.0,96365.0,,3535.0,202.0,0.0,-168000.0,,-11752.0,167.0,-455.0,-471.0,,,,,
1469,2013年01月01日至2013年09月30日,,12441,12441,,,9791,383,670,-12335,3109,-660,,958.0,,,-7972,-41972,29447,-3816,72018,,-3858,9043,-2080,-378,2449,74467,75425,87866,660,-3073,85453,,-1002,-202.0,-1204,,-38527,,-76527,7722,174633,182355,182355,0.0,96331.0,-278.0,0.0,0.0,0.0,-38000.0,0.0,,,,,,,,,
1469,2013年01月01日至2013年06月30日,,15195,15195,,,6529,256,-595,-12280,2337,-386,,-4139.0,,,1116,-45824,3098,308,55029,,12253,-1928,-1256,1465,10256,65285,61146,76341,386,-2379,74348,,-1002,-202.0,-1204,,19500,,-27500,45644,174633,220277,220277,0.0,96331.0,-278.0,0.0,0.0,0.0,-47000.0,,,,,,,,,,
1469,2013年01月01日至2013年03月31日,,17331,17331,,,3253,128,-1207,-19634,1134,-186,3486.0,-13026.0,,,13194,166,-25121,-2313,-14074,,-1896,6103,-871,917,4253,-9821,-22847,-5516,186,-1060,-6390,,-222,-110.0,-332,,31000,0.0,31000,24278,174633,198911,198911,,,,,,,,,,,,,,,,,
1469,2012年01月01日至2012年12月31日,,22700,22700,,,13034,509,-1593,5955,4343,-531,,19015.0,,,9165,-5103,29501,11284,44847,,13868,14163,-3316,-7490,15389,60236,79251,101951,531,-4285,91816,,-5190,0.0,2954,,-3061,,13939,108709,65924,174633,174633,-3386.0,0.0,,-6381.0,5480.0,2664.0,17000.0,,0.0,684.0,0.0,-1836.0,,,,,
1469,2012年01月01日至2012年09月30日,,29508,29508,,,9807,383,-1604,6437,3313,-323,,14627.0,,,-44137,-14354,24414,5516,-28652,,12042,17292,-3140,-4668,20246,-8406,6221,35729,-323,-3287,25759,,-4901,0.0,3243,,2439,,19439,48441,65924,114365,114365,-3386.0,0.0,-1280.0,-6360.0,5480.0,2664.0,17000.0,-91.0,,,,,,,,,
1469,2012年01月01日至2012年06月30日,,18946,18946,,,6589,254,-183,11263,2209,-101,,16645.0,,,-2591,-54510,14022,1809,-41270,,32678,13154,5343,-6492,43768,2498,19143,38089,101,-2160,32663,,-1235,0.0,6909,,44439,,61439,101011,65924,166935,166935,-3386.0,0.0,-915.0,-3367.0,5480.0,2664.0,17000.0,,,,,,,,,,
1469,2012年01月01日至2012年03月31日,,-5596,-5596,,,3369,129,502,3090,1054,-22,2460.0,10582.0,,,24291,-2827,-27025,3948,-1613,,10796,18890,-873,-2098,26715,25102,35684,30088,22,-1020,29090,,-677,0.0,-677,,33139,-1000.0,32139,60552,65924,126476,126476,,,,,,,,,,,,,,,,,
