公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 其他非流動負債增加,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預付投資款增加,　　 其他非流動資產減少,　　 其他預付款項減少,　　　　 股利收入,　　　　 處分投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　 收取之股利,　　 處分備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 償還公司債,　　 舉借長期借款,　　 發放現金股利,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 預付費用（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 短期借款增加,　　　　 其他項目,　　 其他非流動負債減少,　　　　 金融資產減損損失,　　　　 股份基礎給付酬勞成本,　　 現金增資,　　　　 處分其他資產損失（利益）,　　 庫藏股票買回成本,　　　 收益費損項目,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得採用權益法之投資,　　　　 非金融資產減損損失,　　 償還長期借款,　　 取得以成本衡量之金融資產,　　　　　 應收帳款－關係人（增加）減少,　　 其他金融資產增加,　　 其他籌資活動,　　　　 投資性不動產公允價值調整損失(利益),　　　　　 應付帳款－關係人增加（減少）,　　 處分以成本衡量之金融資產,　　 其他金融資產減少
3605,2014年01月01日至2014年03月31日,,79525,79525,,,88372,6640,2386,4144,-9146,599,,78970.0,,,-2174,-1067,50461,-10481,36857,-15065.0,-1296,211,57446,,-2826,-51020,-64003,6801,-110994,-53548,25422,104947,11237,-4131,-14984,97069,,0.0,-8830,1283,0,0.0,-89476,,-49663,,0.0,,,20138,4123,71667,1934850,2006517,2006517,,16181.0,,,-14025.0,,,31179.0,0.0,,,,,,54.0,,19809.0,0.0,329.0,,,,,,,,,,,,,,,,,,,,
3605,2013年度,,250903,250903,,,349499,28563,-3783,19118,-31508,-2086,,341611.0,,,9770,-1149,116833,-12742,23241,-33894.0,15366,-604,116821,,-7229,-23565,-53372,12984,-71764,45057,386668,637571,30583,-15866,-112791,544533,,-3024.0,-48574,7425,-6825,,-373970,,-377455,,0.0,95.0,90.0,-230898,76241,12421,1922429,1934850,1934850,0.0,7503.0,,-5036.0,-8658.0,-504.0,5036.0,26146.0,-26136.0,-260500.0,60000.0,-147571.0,,,-582.0,40000.0,116988.0,-3994.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
3605,2013年01月01日至2013年12月31日,,250903,250903,,,349499,28563,-3783,19118,-31508,-2086,,341611.0,,,9770,-1149,116833,-12742,23241,,15366,-604,116821,,-7229,-23565,-53372,12984,-71764,45057,386668,637571,30583,-15866,-112791,544533,,-3024.0,-48574,7425,-6825,7503.0,-373970,,-377455,,,95.0,90.0,-230898,76241,12421,1922429,1934850,1934850,,,,-5036.0,-8658.0,-504.0,5036.0,26146.0,-26136.0,-260500.0,60000.0,-147571.0,-3994.0,-33894.0,-582.0,40000.0,116988.0,,,,,,,,,,,,,,,,,,,,,,
3605,2013年01月01日至2013年09月30日,,132682,132682,,,258099,21336,-2294,15181,-23253,-1264,-3947.0,257181.0,,,11619,-1677,82358,-7699,57106,-26994.0,15539,-367,129885,,-878,-68072,-107786,12945,-163791,-33906,223275,355957,22632,-11947,-112186,258317,,-3024.0,-36256,4571,-6584,,-259900,,-314301,,258012.0,236.0,90.0,-88633,48959,-95658,1922429,1826771,1826771,,6207.0,,-3861.0,-2274.0,-542.0,3861.0,6821.0,-26136.0,-259400.0,60000.0,-147571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2013年01月01日至2013年06月30日,,59001,59001,,,176327,14442,-3090,7975,-15706,-412,-3712.0,175824.0,,,11865,1002,68168,-13215,31976,-22176.0,14780,-732,91668,,1855,-58599,-65472,20435,-101781,-10113,165711,224712,17673,-5216,-58611,178558,,-3024.0,-32673,4426,-3549,,-168702,,-226910,,-134408.0,161.0,0.0,-134247,66668,-115931,1922429,1806498,1806498,0.0,2748.0,-26136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2013年01月01日至2013年03月31日,,-8885,-8885,,,81873,7224,-3246,4053,-6484,-399,47.0,83068.0,,,269,783,150166,-3259,4598,-17538.0,16571,-507,151083,,757,-8871,-55550,19911,-43753,107330,190398,181513,9883,-2765,-25203,163428,,-3023.0,-17509,3004,-830,-3950.0,-68738,-26136.0,-117182,,-206242.0,260.0,0.0,-205982,49522,-110214,1922429,1812215,1812215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2012年01月01日至2012年12月31日,,373744,373744,,,317444,21507,-1226,23920,-35425,3925,,329443.0,,,23447,1051,103900,-5902,5317,,-5957,-470,120715,,-11721,3269,-104900,-1673,-117187,3528,332971,706715,39621,-12679,-166328,567329,,-188377.0,-55514,527,-17926,-2571.0,-314513,,-665200,,,0.0,3965.0,-438655,-55409,-591935,2514364,1922429,1922429,,,,0.0,0.0,-1648.0,0.0,0.0,-86826.0,-539500.0,0.0,-430230.0,946.0,-671.0,-2162.0,0.0,527110.0,,,,,,,,,,,,,,,,,,,,,,
3605,2012年01月01日至2012年09月30日,,330716,330716,,,233459,13829,-3823,20756,-28457,776,290.0,235181.0,,,24330,909,10347,-13547,37747,-16931.0,5121,-334,47642,,-12333,31048,-80005,16625,-44665,2977,238158,568874,31878,-11300,-158305,431147,,-188377.0,-33407,79,-17827,,-198050,,-526397,,-9029.0,-128.0,3965.0,-544692,-51642,-691584,2514364,1822780,1822780,,-2219.0,,0.0,0.0,-1649.0,0.0,0.0,-86596.0,-539500.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2012年01月01日至2012年06月30日,,223140,223140,,,153828,6553,-1763,10817,-21126,354,5574.0,154237.0,,,22710,1446,-44090,-24037,-19296,-15833.0,-18981,609,-97472,,-9709,90896,-38592,8570,51165,-46307,107930,331070,22012,-3209,-66828,283045,,0.0,-41171,77,-13511,,-124065,,-214195,,-6662.0,-128.0,3490.0,-3300,-44189,21361,2514364,2535725,2535725,-40338.0,4813.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,2012年01月01日至2012年03月31日,,49919,49919,,,77223,3079,-4243,5402,-10795,0,960.0,71626.0,,,-694,1614,94969,-3726,-18774,5438.0,-6427,565,72965,,-5702,11306,-78886,29927,-43355,29610,101236,151155,9567,-1544,-9050,150128,,0.0,-22321,0,-5618,3244.0,-65127,0.0,-89822,,-9634.0,0.0,3490.0,-6144,-40819,13343,2514364,2527707,2527707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
