公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 短期借款減少,　　　　 股利收入,　　 收取之股利,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　 其他金融資產增加,　　　 收益費損項目,　　　　 收益費損項目合計,　　 發放現金股利
2431,2014年01月01日至2014年03月31日,,19868,0,19868,,,13796,532,0,15,-718,47,3083,16755.0,,,-21093,0,-196920,297,-15822,-87835,644,-7027,-327756,,0,146483,-11689,,104,,-7424,127474,-200282,-183527,-163659,718,-15,0,-162956,,-3785,0,-834,,0,-4619,,0,0,-1263,-168838,551787,382949,382949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16755.0,
2431,2013年度,,69393,-1513,67880,,,74157,1467,-1939,3608,-2989,-304,-84770,-15640.0,,,94811,14610,-135423,12095,-2963,-92719,5996,-1040,-104633,,828,221909,43353,,-2418,,-23273,240399,135766,120126,188006,2989,-3608,-1240,191065,,-31131,11462,-3053,,0,-14559,,0,-292973,2005,-114462,666249,551787,551787,-3651.0,-292973.0,-4918.0,4918.0,0.0,8877.0,48.0,0.0,2937.0,,,
2431,2013年01月01日至2013年12月31日,,69393,-1513,67880,,,74157,1467,-1939,3608,-2989,-304,-84770,-15640.0,,,94811,14610,-135423,12095,-2963,-92719,5996,-1040,-104633,,828,221909,43353,,-2418,,-23273,240399,135766,120126,188006,2989,-3608,-1240,191065,,-31131,11462,-3053,,0,-14559,,0,-292973,2005,-114462,666249,551787,551787,-3651.0,-292973.0,-4918.0,4918.0,0.0,8877.0,48.0,0.0,2937.0,,,
2431,2013年01月01日至2013年09月30日,,43556,-1513,42043,,,58358,1029,-1793,3545,-2746,-7808,-61267,-15600.0,,,62747,14610,-264348,10063,9903,-75676,-9702,-2199,-254602,,-819,191138,19991,,-689,,-18139,191482,-63120,-78720,-36677,2746,-3545,-1208,-33766,,-19614,17839,-2153,,-1403,3379,,0,-292973,-2732,-326092,666249,340157,340157,,-292973.0,-4918.0,4918.0,0.0,8710.0,,,,,,
2431,2013年01月01日至2013年06月30日,,7327,-1513,5814,,,38758,625,-1937,3199,-2641,-2144,-2068,33792.0,,,41867,-2547,-45270,5218,2986,-62993,5286,-124,-55577,,-1973,-43332,-10565,,-951,,-5107,-61928,-117505,-83713,-77899,2641,-4032,-1208,-80498,,-8076,8088,-860,,661,-187,,0,-202370,1525,-281530,666249,384719,384719,0.0,-202370.0,,,,,,,,,,
2431,2013年01月01日至2013年03月31日,,-2013,-1465,-3478,,,19427,293,-1829,1915,-1196,118,2134,20862.0,,,27990,-29872,-46687,3166,9551,58958,1880,-782,24204,,962,-126284,-2464,404.0,-16718,-260.0,295,-144065,-119861,-98999,-102477,1196,-1581,-1216,-104078,,-4668,8,-174,96.0,2937,-1801,,0,0,2601,-103278,666249,562971,562971,,,,,,,,,,,,
2431,2012年01月01日至2012年12月31日,,-126032,-3466,-129498,,,71790,1450,-4590,6453,-4256,3,34000,102274.0,,,96387,8505,561,4542,10497,-117956,-7491,-2367,-7322,,-2734,81632,8152,,2778,,-471,89357,82035,184309,54811,4256,-6238,-1557,56517,,-37627,0,-5304,,0,-30447,,141432,141432,-10899,156603,509646,666249,666249,6826.0,0.0,-5245.0,5245.0,-4195.0,10000.0,0.0,2669.0,-147.0,,,
2431,2012年01月01日至2012年09月30日,,-92726,-2941,-95667,,,56686,1090,-4590,4633,-2745,0,8587,58416.0,,,62613,-12992,-113144,4812,13717,-71938,-4999,-3196,-125127,,-2676,926,12869,,3599,,-196,14522,-110605,-52189,-147856,2745,-3789,-29,-143684,,-34816,0,-4808,,8291,-25492,,141459,141459,-29558,-57275,509646,452371,452371,,0.0,-5245.0,5245.0,-4159.0,10000.0,,,,,,
2431,2012年01月01日至2012年06月30日,,-85091,-883,-85974,,,36900,739,0,3288,-2311,0,7724,46340.0,,,63884,-13142,-19185,167,7141,-78601,-5708,-3206,-48650,,-66,25925,6114,,2266,,-312,33927,-14723,31617,-54357,2311,-2542,0,-54588,,-28555,0,-1148,,5016,-24687,,221918,102608,-15257,8076,509646,517722,517722,0.0,-119310.0,,,,,,,,,,
2431,2012年01月01日至2012年03月31日,,-35842,-576,-36418,,,19365,350,0,1011,-383,0,-6024,14319.0,,,34641,-2157,-151642,-3796,-2598,-160547,1777,303,-284019,,1178,227555,1432,-1.0,6211,415.0,202,236992,-47027,-32708,-69126,383,-1007,0,-69750,,-14352,0,-1145,177.0,914,-14406,,49009,49009,-12942,-48089,509646,461557,461557,,,,,,,,,,,,
