公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分投資損失（利益）,　　 收取之股利,　　 處分子公司,　　 取得無形資產,　　 非控制權益變動,　　　　 呆帳費用提列（轉列收入）數,　　　　 股利收入,　　　　　 應付票據－關係人增加（減少）,　　 償還公司債,　　 發放現金股利,　　　　 非金融資產減損損失,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 預付投資款增加,　　　　　 持有供交易之金融資產（增加）減少,　　 處分採用權益法之投資,　　　　　 持有供交易之金融負債增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得以成本衡量之金融資產,　　 其他應收款增加,　　 短期借款減少,　　 應付短期票券減少,　　 其他應付款－關係人增加,　　 以成本衡量之金融資產減資退回股款,　　 其他應收款－關係人增加,　　 其他應收款－關係人減少,　　 存入保證金減少,　　 其他非流動負債減少,　　　　 金融資產減損損失
1326,2014年01月01日至2014年03月31日,,7048466,7048466,,,4363135,795390,26,645999,-113537,-2520457,-178290,,390876.0,,,2855669,2454,-853286,1546724,-2986902,-1996041,-3309477,50962,-5089897,,50407,1571995,-3961874,-1371872,-335214,20949.0,-4025609,-9115506,-8724630,-1676164,100334,-476021,-166.0,-2052017,,0,-3133610,219814,-4659300.0,-570914,-4400748,,2716622,-99966.0,10000000.0,2684172,-6757759,97951,653325,59330,9353675,321272,3222182,11459481,14681663,14681663,-2604587.0,0.0,0.0,-10.0,0.0,3197.0,0.0,0.0,0.0,0.0,0.0,-896.0,0.0,0.0,0.0,-400000.0,3744168.0,,,,,,,,,,,,,,,
1326,2013年度,,30306827,30306827,,,18110987,4224724,-50151,2620766,-474907,-9116739,-213208,,14612394.0,,,219695,7661,-649602,-238098,-3567595,-2333811,-1438209,-603792,-8603751,,14939,1807562,1602096,946894,-1560549,-40093.0,2770849,-5832902,8779492,39086319,491306,-2673462,-946225.0,39044204,,-14928029,-13162293,315223,5859300.0,-5860947,-27785035,,4079510,-11549004.0,15000000.0,39036967,-44540502,58475,-2862903,-78905,-13449739,2087182,-103388,11562869,11459481,11459481,-174705.0,3086266.0,122745.0,-24287.0,-1207815.0,8504.0,-1086634.0,0.0,-7800000.0,-3585562.0,763757.0,0.0,655552.0,37701.0,-800000.0,0.0,0.0,0.0,,,,,,,,,,,,,,
1326,2013年01月01日至2013年12月31日,,30306827,30306827,,,18110987,4224724,-50151,2620766,-474907,-9116739,-213208,,14612394.0,,,219695,7661,-649602,-238098,-3567595,-2333811,-1438209,-603792,-8603751,,14939,1807562,1602096,254927,-868582,-40093.0,2770849,-5832902,8779492,39086319,491306,-2673462,-946225.0,39044204,,-14928029,-13162293,315223,5859300.0,-5860947,-27785035,,4079510,-11549004.0,15000000.0,39036967,-44540502,58475,-2862903,-78905,-13449739,2087182,-103388,11562869,11459481,11459481,-174705.0,3086266.0,122745.0,-24287.0,-1207815.0,8504.0,-1086634.0,0.0,-7800000.0,-3585562.0,763757.0,0.0,655552.0,37701.0,-800000.0,,,,,,,,,,,,,,,,,
1326,2013年01月01日至2013年09月30日,,25898892,25898892,,,13867140,2943962,-49608,2012109,-371982,-6726596,-128101,0.0,10413346.0,,,1899405,8878,-2592261,225900,-1096155,5588515,-2467712,-2310248,-743678,,-15457,1402078,-5003692,49604,-734591,42073.0,-4184849,-4928527,5484819,31383711,362809,-1858010,-569451.0,32405325,,-13448426,-11087949,259696,3282500.0,-4669616,-25541050,,7762310,-12048920.0,15000000.0,18614813,-22560428,139418,-2111781,-106758,-5377255,738869,2225889,11562869,13788758,13788758,-48526.0,3086266.0,122745.0,0.0,-1207815.0,1582.0,-1086634.0,75136.0,-5300000.0,-3558094.0,,,,,,,,,,,,,,,,,,,,,,
1326,2013年01月01日至2013年06月30日,,15524659,15524659,,,9358615,1508300,-26230,1332729,-244301,-3407004,-149071,-69645.0,8254867.0,,,-2495199,-14883,-1807058,245444,-852488,4469607,1064454,-1258564,-648687,,53351,-75886,-3648856,1403529,-895555,-34049.0,-3197466,-3846153,4408714,19933373,218556,-1140247,-469634.0,19877200,,-11481115,-7234450,219678,2255600.0,-3052207,-19169749,,6261530,-6149982.0,5000000.0,13613921,-17569802,108443,-1912030,226480,-421440,884501,1170512,11562869,12733381,12733381,-48526.0,1335152.0,122745.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2013年01月01日至2013年03月31日,,9397379,9397379,,,4538782,1060943,-9203,671830,-121488,-2446049,3255,-98688.0,3599382.0,,,-558266,4564,-1000381,892928,-1150183,-3480071,-3430659,-5787,-8727855,,115443,4032649,-1278088,-1637288,415318,-30151.0,1617883,-7109972,-3510590,5886789,121816,-422623,-130532.0,5455450,,-3621263,-3594887,46648,5070000.0,-1808791,-3908293,,3544502,-1454402.0,5000000.0,16397898,-19955958,116081,-652408,-193564,2802149,-93738,4255568,11562869,15818437,15818437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2012年01月01日至2012年12月31日,,9293443,9293443,,,18554656,3136738,-90642,2849008,-447055,-2899510,-50673,,17143362.0,,,1322609,3591,-2933327,-2149787,-1070855,-1423087,-2317463,6631,-8561688,,-39328,-315305,8085569,-7447,-211524,130887.0,7642852,-918836,16224526,25517969,406269,-3009850,-2700837.0,29135321,,-5113520,-8784145,319038,-3240000.0,-7453956,-26601219,,-3182211,11918053.0,20000000.0,38577276,-37087905,47644,-786757,-67105,112383,-1228313,1418172,10144697,11562869,11562869,-318.0,8921770.0,0.0,-78636.0,-1540493.0,-3024.0,-3905818.0,0.0,-5000000.0,-22766119.0,0.0,-2250000.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1326,2012年01月01日至2012年09月30日,,5350309,5350309,,,13983186,2387195,25019,1993464,-330391,-1870916,-28093,0.0,12246210.0,,,1191692,1752,1349545,2704,481082,5334111,-4864202,132343,3629027,,-35798,-679203,1294147,-1444850,394430,111542.0,-359732,3269295,15515505,20865814,251284,-1995780,-2757828.0,25284511,,-3238048,-6350544,82903,-2320000.0,-4954244,-16779933,,554214,7515873.0,9000000.0,30141969,-25191753,51318,-1882428,292576,-6351458,-1861528,291592,10144697,10436289,10436289,0.0,8921021.0,0.0,0.0,-1540493.0,-8185.0,-3905069.0,0.0,-2500000.0,-22792734.0,,,,,,,,,,,,,,,,,,,,,,
1326,2012年01月01日至2012年06月30日,,-1591470,-1591470,,,9355812,1647374,12948,1319260,-198139,1033417,-24203,571386.0,13717855.0,,,-1983874,-21840,789186,83432,-248015,-524857,-2371346,220789,-4056525,,-11989,-1025248,1144441,-1145038,-373398,61990.0,-1349242,-5405767,8312088,6720618,200793,-775196,-2679746.0,3716320,,-1848390,-4360704,42025,-360000.0,-2806826,-9336770,,-348113,9274863.0,0.0,8436798,-9840810,46702,1233402,270514,8650298,-785276,2244572,10144697,12389269,12389269,0.0,249851.0,0.0,-2875.0,-423058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,2012年01月01日至2012年03月31日,,3980048,3980048,,,4656727,860088,-16692,664561,-100407,-1281899,-5056,-169563.0,4607759.0,,,-389047,-1211,-819516,-3673400,-10480,-743297,-1494522,-264489,-7395962,,-27501,135403,7548934,-1408073,-526476,18780.0,5741067,-1654895,2952864,6932912,103562,-491662,-147111.0,6397701,,-198332,-1795100,19220,2170000.0,-882433,-686645,,-2108568,393938.0,0.0,877815,-3011860,-27663,130608,115790,-3629940,-201092,1880024,10144697,12024721,12024721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
