公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 償還長期借款,　　 其他應付款－關係人減少,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 股利收入,　　 退還（支付）之所得稅,　　 對子公司之收購（扣除所取得之現金）,　　 應付款項增加,　　　　　 其他營業資產（增加）減少,　　　　　 預收款項增加（減少）,　　 取得按攤銷後成本衡量之金融資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 舉借長期借款,　　 存入保證金增加,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損損失,　　 取得持有至到期日金融資產,　　 存出保證金增加,　　 因合併產生之現金流入,　　 其他非流動資產減少,　　 庫藏股票買回成本,　　 持有至到期日金融資產到期還本,　　 現金增資,　　　　 利息收入,　　　　　 應計退休金負債增加（減少）,　　 收取之利息,　　　　 非金融資產減損迴轉利益,　　 存出保證金減少,　　 發行公司債,　　 其他籌資活動,　　　　　 持有供交易之金融資產（增加）減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 收取之利息-營業活動,　　 收取之股利,　　　　 處分投資損失（利益）,　　 處分按攤銷後成本衡量之金融資產,　　 處分備供出售金融資產,　　 短期借款減少,　　 存入保證金減少,　　 員工購買庫藏股,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資
3383,2014年01月01日至2014年03月31日,,35000,35000,,,291053,3339,-37983,-3593,36233,10993,-209,172,,,4155,5387,309547.0,,,7377,-336391,124738,,22299,66935,11886,-103156,,-73139,37796,-48301,,-1197.0,-84764,-187920,121627,156627,-33169,123458,,2952.0,0,-80280,3794,,,-1907,-41536,,236102.0,-69737,-671615,,,,69827,-4159,147590,966126,1113716,1113716,,,,,,77.0,,2208.0,0.0,-35359.0,0.0,77.0,,,,-2396.0,,463.0,,68989.0,575000.0,,,,,,,,,,,,,,,,,,,,,
3383,2013年度,,-491319,-491319,,,1116174,16246,-60981,-2712,130021,7365,17864,-2912,0.0,,5509,32541,1255587.0,,,-13507,229441,133172,0.0,-11939,-12233,-8778,315367,,16276,-120163,86833,,100700.0,82877,398244,1653831,1162512,-121344,1050842,,-6904.0,-12000,-412722,31203,-4279.0,,-20169,-714969,,228994.0,-184100,-969221,,270.0,29085.0,-529688,-19832,-213647,1179773,966126,966126,,-290.0,,0.0,-789.0,-769.0,-621.0,-64990.0,110045.0,-248020.0,517571.0,122.0,4709.0,3142.0,,-4834.0,,2012.0,,-83690.0,0.0,-11379.0,0.0,9964.0,0.0,,0.0,-152409.0,0.0,,,,,,,,,,,,,
3383,2013年01月01日至2013年12月31日,,-491319,-491319,,,1116174,16246,-60981,-2712,130021,7365,17864,-2912,0.0,,5509,30889,1265314.0,,,-13507,229441,133172,0.0,-12555,-12233,-8778,314751,,16276,-120163,86833,0.0,102352.0,84529,399280,1664594,1173275,-121344,1051641,,-6904.0,-12000,-412722,31203,-4279.0,,-20968,-700852,,228994.0,-336509,-969221,,270.0,29085.0,-529688,-34748,-213647,1179773,966126,966126,,-290.0,,0.0,-789.0,-769.0,-621.0,-64990.0,110045.0,-248020.0,517571.0,122.0,4709.0,3142.0,-83690.0,-4834.0,14916.0,2012.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
3383,2013年01月01日至2013年09月30日,,-477161,-477161,,,811369,12646,-64942,-2594,97948,6799,14807,-12992,0.0,3468.0,5509,124525,996543.0,,,6823,216745,12035,0.0,-15286,-82960,-9742,128230,,-49847,-3752,51237,5732.0,105077.0,115204,243434,1239977,762816,-80248,682556,,-4000.0,-12000,-263248,20260,-1630.0,-21395.0,-15524,-636343,,1048529.0,-336509,-963124,,270.0,29085.0,-159659,-24052,-137498,1179773,1042275,1042275,,-12.0,,3000.0,615.0,6757.0,-621.0,-296883.0,110045.0,-151347.0,59000.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2013年01月01日至2013年06月30日,,-353002,-353002,,,536247,6910,-41412,-2787,62870,4044,19130,-14458,0.0,-9186.0,5509,76586,644817.0,,,-104193,320378,109541,0.0,-10909,-147930,9095,175982,,12119,67254,87636,56068.0,4159.0,227236,403218,1048035,695033,-54729,639916,,-13486.0,-12000,-132116,2081,-740.0,-116759.0,-13041,-273664,,548470.0,-336509,-305697,,0.0,29085.0,-54651,-16267,295334,1179773,1475107,1475107,1364.0,-388.0,12397.0,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2013年01月01日至2013年03月31日,,-156970,-156970,,,267896,3416,-40703,-3223,30776,1289,16188,597,0.0,-8299.0,5509,36350,309796.0,,,4856,287063,61568,0.0,-6653,-75842,-7983,263009,,7605,-46563,35364,7182.0,68.0,3656,266665,576461,419491,-24756,394735,,-7000.0,-12000,-52149,14,0.0,-83801.0,-7129,-162065,,524065.0,-152409,-298431,0.0,0.0,0.0,73225,19200,325095,1179773,1504868,1504868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2012年01月01日至2012年12月31日,,-688551,-688551,,,967400,19242,186073,-44417,103537,5856,25410,5568,4173.0,,0,48711,1321553.0,,,-36061,101451,-43136,491.0,-1759,-349926,20226,-309551,,-14791,115141,-53158,-6000.0,-5408.0,36199,-273352,1048201,359650,-84770,228775,,42953.0,-49720,-752988,19807,-21720.0,,-36396,-1859185,,-20309.0,0,-339899,,12787.0,307435.0,864465,4637,-761308,1941081,1179773,1179773,,-46105.0,,0.0,-837.0,415.0,0.0,5551.0,85007.0,-1157554.0,976713.0,-172.0,0.0,0.0,0.0,1912.0,0.0,3963.0,-72090.0,,,,,,,,,,,,,,,,,,,,,,,
3383,2012年01月01日至2012年09月30日,,-418476,-418476,,,706169,14668,87381,-29007,72768,4392,14149,4722,4173.0,11241.0,0,57341,947997.0,,,-8640,-103204,127623,491.0,4105,-313869,10142,-282602,,139005,-19176,-4857,-6000.0,-4796.0,108450,-174152,773845,355369,-57672,252023,,42953.0,-49720,-443314,19807,-18190.0,-442.0,-31159,-1551368,,362183.0,0,-379995,,12739.0,307435.0,1312126,-10405,2376,1941081,1943457,1943457,,-45674.0,,1200.0,750.0,4274.0,0.0,-11088.0,73319.0,-1133534.0,1008700.0,-136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2012年01月01日至2012年06月30日,,-359838,-359838,,,455318,8149,52464,-30992,45819,2928,10609,2841,4173.0,5777.0,0,47740,606510.0,,,12624,19946,-72871,491.0,7030,-269129,12936,-288973,,105327,131117,-14111,-1798.0,-3978.0,216557,-72416,534094,174256,-34541,93704,,37953.0,-26720,-259297,19727,-17000.0,-771027.0,-19730,-1036094,,-70073.0,0,361079,,12379.0,92130.0,396015,-8997,-555372,1941081,1385709,1385709,1684.0,-46011.0,0.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383,2012年01月01日至2012年03月31日,,-283063,-283063,,,220226,4060,37268,9536,21004,1463,18155,2839,4173.0,10719.0,0,49195,378638.0,,,39574,150130,-14962,491.0,-11701,-204129,4298,-36299,,33055,24259,-14171,-3053.0,-1340.0,38750,2451,381089,98026,-15265,82761,,0.0,-26720,-172172,19646,-13083.0,-564379.0,-9542,-766250,,540032.0,0,215052,500.0,11757.0,92130.0,859471,-15496,160486,1941081,2101567,2101567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
