公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 應收款項減少,　　 其他非流動資產減少,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　　 預收款項增加（減少）,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 其他應收款－關係人增加,　　 處分無形資產,　　 取得投資性不動產,　　 其他預付款項增加,　　 發行公司債,　　 其他非流動負債減少,　　 取得子公司股權,　　　　　 遞延貸項增加（減少）,　　 存出保證金減少,　　 其他非流動資產增加,　　 發放現金股利,　　　　 金融資產減損損失,　　 處分無活絡市場之債券投資,　　 處分持有至到期日金融資產,　　　　 投資性不動產公允價值調整損失(利益),　　 對子公司之收購（扣除所取得之現金）,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 短期借款減少,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 備供出售金融資產減資退回股款,　　 概括承受他公司之淨現金收取數,　　 其他投資活動
1102,2014年01月01日至2014年03月31日,,2014079,2014079,,,1198341,42243,-8804,-240496,385203,-129874,-1271,,467137,-1042631,-4092,,-104530,-16131.0,,154735,1460,981177.0,,,-3263387,-875106,104873,-282429,-545481,-184112,208054,-4837588,,169718,3509,,-172.0,286695,-4550893,-3569716,-1555637,119420,25134,-488867,-471236,-2371186,,-29708,763406,-452925.0,0.0,-4503,-1402773,126628,0.0,-479,,1079,,-978828,,1099701,1241000,-12577483,15140996,-12734607,,-7650.0,-13927.0,-723321.0,-8575291,128350,-11796955,19184742,7387787,7387787,,-76572.0,356459.0,130661.0,,,,,,0.0,,,,-17021.0,20447.0,,,,,,,,,,,,,,,,,
1102,2013年度,,14082248,14082248,,,4596085,176239,42458,-47155,1640205,-727788,-700889,603.0,463723,-5217067,-5776,,-72474,-23718.0,,-601824,2236,-2093533.0,,,76829,-18029,-31366,17938,-182005,-134793,-224048,-495474,,1260077,-126,,-20073.0,1202225,706751,-1386782,12695466,737830,4058444,-1359274,-1351200,14781266,,-2904207,847208,,-409624.0,-245836,-8522673,123912,7667.0,-7355,,5811,-104377.0,-11256192,,1639455,152032,-6814707,47419563,-35542745,,-32506.0,,-934542.0,6919806,430793,10875673,8309069,19184742,19184742,0.0,0.0,116382.0,30432.0,-297321.0,0.0,-1922790.0,,-2071.0,,6499996.0,25511.0,,-68085.0,,,-5492251.0,32500.0,1795671.0,379793.0,-1767273.0,0.0,,,,,,,,,,
1102,2013年01月01日至2013年12月31日,,10277840,10277840,,,4624877,176239,42458,-47155,1640205,-727788,-700889,603.0,463723,-3208725,-5776,,-72474,0.0,,-601824,2237,1710875.0,,,76829,-18029,-31366,17938,-182005,-134793,-224048,-495474,,1260077,-126,,-20073.0,1202225,706751,2417626,12695466,737830,4058444,-1359274,-1351200,14781266,,-2904207,847208,0.0,-409624.0,-245836,-8522673,123912,,-7355,,5811,,-11256192,,1639455,152032,-6814707,47419563,-35542745,0.0,-32506.0,25511.0,-934542.0,6919806,430793,10875673,8309069,19184742,19184742,0.0,-23718.0,116382.0,30432.0,-297321.0,0.0,-1922790.0,,-2071.0,-104377.0,6499996.0,0.0,,-68085.0,7667.0,0.0,-5492251.0,32500.0,1795671.0,379793.0,,,,,,,,,,,,
1102,2013年01月01日至2013年09月30日,,6479352,6479352,,,3385267,149641,9258,41277,1251357,-471952,-694567,603.0,283361,-2437274,-7555,,-24809,0.0,,-580576,1104,992372.0,,,-3658182,1430292,352504,-95668,930988,-744365,-161918,-1946349,,-29468,392354,,-9902.0,511101,-1435248,-442876,6036476,477129,3335974,-1066184,-1030384,7753011,,-1293573,435439,1636776.0,-409354.0,-238943,-6967026,90923,-72562.0,-8716,,1050,-183898.0,-9042035,,2039308,817200,-6814707,32659030,-23341212,0.0,-27401.0,101113.0,-456300.0,5984776,250211,4945963,8309069,13255032,13255032,0.0,-29145.0,116382.0,209181.0,-107290.0,0.0,-1922790.0,,-2071.0,,6499996.0,0.0,0.0,-51064.0,0.0,0.0,-5492251.0,,,,,,,,,,,,,,,
1102,2013年01月01日至2013年06月30日,,4784025,4784025,,,2269558,45013,102,-490446,840440,-324518,-286748,603.0,613386,-1825559,-7243,,-8134,0.0,-25.0,-102986,-34043,760969.0,,,-1014513,973809,-329358,-634013,267493,-307041,118224,-925399,,1345251,-8894,,-9316.0,1353353,427954,1188923,5972948,268534,3956,-650740,-695634,4899064,,-910824,196192,-4375368.0,-223834.0,-213440,-4527504,50081,-24170.0,-6763,,973,0.0,-12206900,,-997485,-307915,-2314707,24630025,-9963474,0.0,-36932.0,300127.0,-113838.0,17695797,380291,10768252,8309069,19077321,19077321,0.0,-44813.0,116382.0,26312.0,-107290.0,0.0,-1922790.0,8.0,-2071.0,-140100.0,6499996.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1102,2013年01月01日至2013年03月31日,,1589845,1589845,,,1121407,22354,-15936,-309974,424975,-119860,-2299,500.0,525561,-1025067,-7856,10516.0,-1689,-47212.0,-37.0,522049,-17021,1080411.0,,,-3520964,266198,429011,-59138,-104232,-272321,86508,-3174938,,535594,2128,191233.0,-7501.0,721454,-2453484,-1373073,216772,69735,2299,-495598,-154912,-361704,,-199370,69892,1456757.0,-217615.0,-117547,-1919725,13531,-475068.0,-5073,-81435.0,498,-170286.0,-1645441,,1333415,119331,-2198325,15129985,-6537649,0.0,-4907.0,539745.0,0.0,8381595,229070,6603520,8309069,14912589,14912589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,2012年01月01日至2012年12月31日,,6719669,6719669,,,4354392,160237,-42375,190106,1773775,-630972,-653923,2707.0,-767676,-2677467,-8983,,-151904,58593.0,,169541,546,1636889.0,,,486249,2791474,155316,32518,-145599,15207,-149930,3185235,,36093,-1916,,-4276.0,-122198,3063037,4699926,11419595,613229,4314531,-1402463,-777437,14167455,,-3969654,1224324,-1447527.0,-1146367.0,-56253,-3821418,101785,,-46794,,0,,-8961889,,3698010,621248,0,9687908,-13500088,7450.0,0.0,0.0,-611526.0,-7515198,-324983,-2634615,10943684,8309069,8309069,-161708.0,0.0,0.0,-84014.0,-126000.0,623541.0,0.0,,-23951.0,-299434.0,0.0,-203857.0,,-68085.0,26081.0,-222.0,-7214343.0,22000.0,0.0,0.0,,,,,,,,,,,,
1102,2012年01月01日至2012年09月30日,,4811403,4811403,,,3254568,153845,-26436,40586,1357166,-445714,-651438,2222.0,-609168,-2364948,-135328,,-48725,80897.0,,455576,546,901941.0,,,-5518462,2965688,-138573,-68942,172326,-350746,-42477,-2981186,,280947,-3187,,-4610.0,384340,-2596846,-1694905,3116498,462240,3553324,-1082307,-586514,5463241,,-2438479,152894,72155.0,-460635.0,-41915,-2690399,157675,0.0,-34789,,0,0.0,-4792937,,2331160,2399976,0,2248686,-5768533,18743.0,0.0,0.0,-568596.0,-6914471,-104166,-6348333,10943684,4595351,4595351,-161708.0,0.0,0.0,162254.0,-126000.0,623541.0,0.0,,-23952.0,,0.0,-328266.0,-33298.0,-51064.0,17294.0,-327.0,-7214343.0,,,,,,,,,,,,,,,
1102,2012年01月01日至2012年06月30日,,3868204,3868204,,,2164055,46452,-3898,-194860,917933,-302192,-375439,1749.0,-245532,-1913111,3659,,-843,52817.0,1009.0,188130,-34043,144178.0,,,272508,2396719,-42968,-497710,-434148,90818,-85517,1699702,,592346,-5210,,-3392.0,689909,2389611,2533789,6401993,239591,281,-653549,-555364,5432952,,-970961,7915,85260.0,-460635.0,-41915,-1570594,19410,-6910.0,-18172,,3960,10318.0,-2444783,,2321634,159780,0,46695,-2980615,6819.0,0.0,0.0,-260270.0,-893313,-104166,1990690,10943684,12934374,12934374,-161708.0,0.0,0.0,106165.0,-126000.0,623541.0,0.0,0.0,0.0,0.0,0.0,-156461.0,-30895.0,,,,,,,,,,,,,,,,,,,
1102,2012年01月01日至2012年03月31日,,1679747,1679747,,,1108550,18759,-15512,179239,476528,-110578,0,1115.0,-472628,-1153857,3041,0.0,0,25434.0,3502.0,-688834,-17021,-642262.0,,,-3820453,2288606,331730,-303096,-1159620,33083,-36046,-2665796,,-12864,2958,9977.0,-359.0,-288,-2666084,-3308346,-1628599,74139,0,-416201,-353968,-2324629,,-278139,0,-235859.0,0.0,0,-625991,3639,36143.0,-4499,-62776.0,3069,94699.0,-1069714,,94319,271777,0,36841,-1963686,19098.0,0.0,225275.0,84248.0,-1232128,-221047,-4847518,10943684,6096166,6096166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
