公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　 收取之股利,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 存出保證金增加,　　 其他非流動資產減少,　　 應付短期票券增加,　　 非控制權益變動,　　　　 股利收入,　　　　　 應付帳款－關係人增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 發放現金股利,　　　　　 持有供交易之金融負債增加（減少）,　　　　 金融資產減損損失,　　 支付之股利,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 其他非流動負債增加,　　　　 非金融資產減損損失,　　 其他非流動資產增加,　　 發行公司債,　　 其他非流動負債減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　 存出保證金減少,　　 其他金融資產增加,　　 備供出售金融資產減資退回股款,　　 無活絡市場之債務工具投資到期還本
3702,2014年01月01日至2014年03月31日,,1732185,1732185,,,67939,30179,11357,26851,252352,-4528,-2092,1579,-87703,0.0,310964.0,,,-23398,122306.0,1494692,-1189,-411178,-6240422,-478013,-10708,,-5631435,,-154624,2064682,143530,102694,30018.0,2179427,-3452008,-3141044,-1408859,7304,-242740,-64983,-1709278,,164064,0,0.0,0.0,-27097,7168,-380973.0,-269079,,371029283,-369634226,,1446472,-1235349,1675956,922009,619608,9458603,10078211,10078211,,-83525.0,0.0,0.0,0.0,0.0,-102284.0,70043.0,69776.0,0.0,,-6873.0,0.0,0.0,,,15030.0,0.0,,,,,,,,,,,,,
3702,2013年度,,5806385,5806385,,,233829,124938,483254,35488,786926,-22292,-38257,13044,-176226,0.0,1513252.0,,,-12617,-1133091.0,-11344677,-118862,-423301,-1751309,-58050,-71741,,-15308567,,112073,4962212,-79290,104527,-25530.0,5069867,-10238700,-8725448,-2919063,31183,-785612,-1075870,-4703767,,58908,-105739,0.0,-6391.0,-1147503,17507,1051139.0,-80381,,354070024,-346895016,,10790339,-10325735,4505313,865260,586425,8872178,9458603,9458603,0.0,-394919.0,45595.0,2990.0,-119904.0,292354.0,-38365.0,-45510.0,878216.0,-745.0,-8869.0,-4125.0,984.0,-40851.0,-3973703.0,0.0,,,,0.0,0.0,81417.0,,0.0,-38067.0,,,,,,
3702,2013年01月01日至2013年12月31日,,5806385,5806385,,,233829,124938,483254,-15696,786926,-22292,-38257,13044,-176226,81417.0,1462068.0,,,38567,-1133091.0,-11344677,-118862,-423301,-1751309,-58050,-71741,,-15257383,,112073,4962212,-79290,104527,-31106.0,5064291,-10193092,-8731024,-2924639,31183,-785612,-1075870,-4709343,,58908,-105739,0.0,-6391.0,-1147503,17507,1051139.0,-80381,,354070024,-346895016,,10790339,-10325735,4543380,832769,586425,8872178,9458603,9458603,,-394919.0,45595.0,2990.0,-119904.0,292354.0,-38365.0,-45510.0,878216.0,-745.0,-8869.0,-4125.0,984.0,-40851.0,-3973703.0,0.0,,,,,,,,,,,,,,,
3702,2013年01月01日至2013年09月30日,,4578669,4578669,,,170563,82361,408343,7753,557994,-16588,-27260,8390,-159427,50660.0,1074271.0,,,38749,-760540.0,-9313656,-90562,-287685,-6889294,-571923,-7431,,-18216252,,-293692,7848608,68692,20929,-11326.0,7627455,-10588797,-9514526,-4935857,21068,-556442,-701170,-6132968,,14306,-89260,0.0,-6391.0,-1065652,14359,640651.0,-411419,,254905468,-246330186,,3696106,-3182405,5426375,556005,-562007,8872178,8310171,8310171,,-333910.0,39433.0,1463.0,-119904.0,292354.0,-77847.0,-15498.0,311095.0,0.0,-8518.0,-5756.0,0.0,0.0,-3973703.0,,,,,,,,,,,,,,,,
3702,2013年01月01日至2013年06月30日,,2977656,2977656,,,111892,59492,204522,-4844,355351,-11338,-18210,3156,-149576,-24902.0,525543.0,,,38098,,-6088216,-211860,-417846,-5677118,-2789,-10394,,-12812943,,-166445,5905029,-314173,142110,-25657.0,5540864,-7272079,-6746536,-3768880,12474,-353154,-416111,-4494756,,14306,-61092,0.0,-6391.0,-921376,9048,665252.0,-151490,,176700464,-173297851,,2254226,-2725406,3083794,1117010,-445442,8872178,8426736,8426736,-442818.0,0.0,30915.0,1463.0,-37501.0,292354.0,-108066.0,513.0,152361.0,0.0,,,,,,,,,,,,,,,,,,,,,
3702,2013年01月01日至2013年03月31日,,1274868,1274868,,,55725,28201,55746,1894,176586,-5254,-18431,2403,-14113,-21798.0,260959.0,,,32970,-796880.0,-502440,-54679,-841865,-3084425,-588677,-4201,-40214.0,-5880411,,166511,3320826,-445354,297141,-2566.0,3336558,-2543853,-2282894,-1008026,7272,-179985,-55267,-1236006,,14396,-61092,0.0,-6391.0,-784226,2565,367433.0,-467315,,59444654,-59375724,-334279.0,7452701,-7524799,-337447,898411,-1142357,8872178,7729821,7729821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2012年01月01日至2012年12月31日,,5640646,5640646,,,242477,117440,144576,-443,768924,-36794,-29582,8956,-68479,78667.0,1216765.0,,,86819,-1521130.0,-10861494,-171027,1933377,623461,21015,149719,,-9742539,,123593,5138661,-263573,-283326,-7586.0,4722261,-5020278,-3803513,1837133,43852,-758303,-984076,222280,,22674,-154853,427845.0,-507334.0,-2150974,32877,960246.0,-1179255,,334408081,-328400832,,25217306,-24157221,3611795,-1568616,1086204,7785974,8872178,8872178,,-3279.0,83674.0,0.0,-78377.0,14400.0,273800.0,-23067.0,893221.0,-43916.0,-8977.0,14492.0,3508.0,0.0,-4304844.0,0.0,,,,,,,,,,,,,,,
3702,2012年01月01日至2012年09月30日,,4493444,4493444,,,185207,85012,84643,1115,575450,-23236,-27033,878,-66761,2714.0,809419.0,,,86559,-543157.0,-13114774,-223204,892657,-2773085,-411066,138917,,-15966226,,53539,8790668,-481092,17258,-2121.0,8488985,-7477241,-6667822,-2174378,27410,-539252,-804859,-3422141,,22674,-95845,397651.0,-507334.0,-2093115,32877,972668.0,-1092520,,254692044,-246208892,,23051865,-21524036,6170778,-965866,690251,7785974,8476225,8476225,,-19073.0,68938.0,0.0,-23670.0,14400.0,242006.0,-12980.0,439062.0,25579.0,-8570.0,110733.0,3508.0,-45360.0,-4304844.0,,,,,,,,,,,,,,,,
3702,2012年01月01日至2012年06月30日,,2833330,2833330,,,122640,54056,29023,4572,385618,-20962,-20772,-308,-69357,14569.0,499079.0,,,88395,,-8729483,-193691,1182751,-5138758,-30446,-58016,,-13095688,,5661,8628120,-661379,-221307,-26841.0,7724254,-5371434,-4872355,-2039025,21987,-360126,-413788,-2761501,,16571,-35994,397651.0,-507334.0,-1363804,23963,536214.0,-697022,,182519193,-177669689,,2750666,-3077082,4248039,-427019,362497,7785974,8148471,8148471,-216440.0,0.0,29451.0,0.0,0.0,0.0,231914.0,3797.0,-300628.0,25579.0,,,,,,,,,,,,,,,,,,,,,
3702,2012年01月01日至2012年03月31日,,1113751,1113751,,,60118,23720,13573,-2707,200875,-8489,-4369,104,-15669,32240.0,299396.0,,,-54600,-108397.0,-2559314,-65483,546593,-1557076,-438368,82387,29658.0,-4124600,,94216,4723507,-577802,2680,19597.0,4262198,137598,436994,1550745,9859,-204558,-42536,1313510,,16572,-29994,397651.0,0.0,-865356,1316,324700.0,-155111,,82159861,-81796196,-339886.0,7380844,-7418507,-13884,-805983,338532,7785974,8124506,8124506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
